NAME,Zone,Projects,Month/Year Range,Tif Files in Co Folder/Mosaic Dataset,Complete Coverage Verified,Contours.py status,Run Time HH.MM
Autauga,West,AL_25Co_B4_2017,2/2017 - 4/2017,yes,yes,ready to run,
Baldwin,West,AL_25Co_B8_2017,1/2018 - 2/2018,yes,yes,ready to run,
Barbour,East,AL_25Co_B5_2017|AL_25Co_B4_2017,2/2017 - 4/2017,yes,yes,finished,20.05
Bibb,West,AL_ADECA_B1_2016,12/2016 - 3/2017,yes,yes,ready to run,
Blount,West,AL_17Co_1_2020,12/2020 - 2/2021,yes,yes,finished,20.41
Bullock,East,AL_25Co_B5_2017|AL_25Co_B4_2017|AL_25Co_B6_2017,2/2017 - 4/2017,yes,yes,ready to run,
Butler,West,AL_25Co_B6_2017|AL_25Co_B7_2017,3/2017 - 12/2018,yes,yes,ready to run,
Calhoun,East,AL_17Co_1_2020,12/2020 - 2/2021,yes,yes,ready to run,
Chambers,East,AL_25Co_B3_2017,2/2017 - 11/2017,yes,yes,ready to run,
Cherokee,East,AL_25Co_B2_2017,2/2017 - 4/2017,yes,yes,ready to run,
Chilton,West,AL_ADECA_B1_2016|AL_ADECA_B2_2016,10/2016 - 3/2017,yes,yes,ready to run,
Choctaw,West,AL_SWCentral_1_B22,1/2023 - 3/2023,yes,yes,ready to run,
Clarke,West,AL_25Co_B7_2017,1/2018 - 1/2018,yes,yes,ready to run,
Clay,East,AL_17Co_1_2020,12/2020 - 2/2021,yes,yes,ready to run,
Cleburne,East,AL_17Co_1_2020,12/2020 - 2/2021,yes,yes,ready to run,
Coffee,East,AL_CofDalGenEsc_1_2021,1/2022 - 1/2022,yes,yes,ready to run,
Colbert,West,AL_17Co_1_2020,12/2020 - 2/2021,yes,yes,ready to run,
Conecuh,West,AL_25Co_B7_2017,1/2018 - 1/2018,yes,yes,ready to run,
Coosa,East,AL_ADECA_B1_2016,12/2016 - 3/2017,yes,yes,ready to run,
Covington,East,AL_25Co_B6_2017,3/2017 - 12/2018,yes,yes,ready to run,
Crenshaw,East,AL_25Co_B6_2017,3/2017 - 12/2018,yes,yes,ready to run,
Cullman,West,AL_3County_2015,12/2015 - 2/2016,yes,yes,ready to run,
Dale,East,AL_CofDalGenEsc_1_2021,1/2022 - 1/2022,yes,yes,ready to run,
Dallas,West,AL_ADECA_B1_2016|AL_ADECA_B2_2016,10/2016 - 3/2017,yes,yes,ready to run,
DeKalb,East,AL_17Co_1_2020,12/2020 - 2/2021,yes,yes,ready to run,
Elmore,East,AL_25Co_B4_2017,2/2017 - 4/2017,yes,yes,ready to run,
Escambia,West,AL_CofDalGenEsc_1_2021,1/2022 - 1/2022,yes,yes,ready to run,
Etowah,East,AL_25Co_B2_2017,2/2017 - 4/2017,yes,yes,ready to run,
Fayette,West,AL_AGIO_B1_2016,12/2016 - 3/2017,yes,yes,ready to run,
Franklin,West,AL_AGIO_B1_2016,12/2016 - 3/2017,yes,yes,ready to run,
Geneva,East,AL_CofDalGenEsc_1_2021,1/2022 - 1/2022,yes,yes,ready to run,
Greene,West,AL_AGIO_B2_2016,12/2016 - 3/2017,yes,yes,ready to run,
Hale,West,AL_ADECA_B1_2016|AL_ADECA_B2_2016|AL_AGIO_B2_2016,10/2016 - 3/2017,yes,yes,ready to run,
Henry,East,AL_25Co_B5_2017,3/2017 - 3/2017,yes,yes,ready to run,
Houston,East,AL_25Co_B5_2017,3/2017 - 3/2017,yes,yes,ready to run,
Jackson,East,AL_17Co_1_2020,12/2020 - 2/2021,yes,yes,ready to run,
Jefferson,West,AL_JeffersonCo_2013,4/2013 - 5/2013,yes,yes,ready to run,
Lamar,West,AL_25Co_B1_2017,12/2106 - 2/2017,yes,yes,ready to run,
Lauderdale,West,AL_17Co_1_2020,12/2020 - 2/2021,yes,yes,ready to run,
Lawrence,West,AL_17Co_1_2020,12/2020 - 2/2021,yes,yes,ready to run,
Lee,East,GA_Central_2_2019,1/2020 - 6/2020,yes,yes,ready to run,
Limestone,West,AL_25Co_B1_2017,12/2106 - 2/2017,yes,yes,ready to run,
Lowndes,West,AL_17Co_2_2020,12/2020 - 2/2021,yes,yes,ready to run,
Macon,East,AL_25Co_B4_2017,2/2017 - 4/2017,yes,yes,ready to run,
Madison,East,AL_NorthAL_2019,12/2019 - 12/2019,yes,yes,ready to run,
Marengo,West,AL_17Co_2_2020,12/2020 - 2/2021,yes,yes,ready to run,
Marion,West,AL_AGIO_B1_2016,12/2016 - 3/2017,yes,yes,ready to run,
Marshall,East,AL_17Co_1_2020,12/2020 - 2/2021,yes,yes,ready to run,
Mobile,West,AL_SWCentral_1_B22,1/2023 - 3/2023,yes,yes,ready to run,
Monroe,West,AL_25Co_B7_2017,1/2018 - 1/2018,yes,yes,ready to run,
Montgomery,East,AL_17Co_2_2020,12/2020 - 2/2021,yes,yes,ready to run,
Morgan,West,AL_17Co_1_2020,12/2020 - 2/2021,yes,yes,ready to run,
Perry,West,AL_ADECA_B1_2016|AL_ADECA_B2_2016,10/2016 - 3/2017,yes,yes,ready to run,
Pickens,West,AL_AGIO_B2_2016,12/2016 - 3/2017,yes,yes,ready to run,
Pike,East,AL_25Co_B6_2017,3/2017 - 12/2018,yes,yes,ready to run,
Randolph,East,AL_25Co_B3_2017,2/2017 - 11/2017,yes,yes,ready to run,
Russell,East,AL_25Co_B4_2017,2/2017 - 4/2017,yes,yes,ready to run,
Shelby,West,AL_25Co_B2_2017,2/2017 - 4/2017,yes,yes,ready to run,
Saint Clair,East,AL_17Co_1_2020|AL_17Co_2_2020,12/2020 - 2/2021,yes,yes,ready to run,
Sumter,West,AL_AGIO_B2_2016,12/2016 - 3/2017,yes,yes,ready to run,
Talladega,East,AL_17Co_2_2020,12/2020 - 2/2021,yes,yes,ready to run,
Tallapoosa,East,AL_25Co_B3_2017|AL_25Co_B4_2017,2/2017 - 4/2017,yes,yes,ready to run,
Tuscaloosa,West,AL_SWCentral_1_B22,1/2023 - 3/2023,yes,yes,ready to run,
Walker,West,AL_3County_2015,12/2015 - 2/2016,yes,yes,ready to run,
Washington,West,AL_SWCentral_1_B22,1/2023 - 3/2023,yes,yes,ready to run,
Wilcox,West,AL_17Co_2_2020,12/2020 - 2/2021,yes,yes,ready to run,
Winston,West,AL_25Co_B1_2017,12/2106 - 2/2017,yes,yes,ready to run,
